payment_id,utr,settled_amount,settlement_date,fee_deducted,gst_on_fee,linked_order_id
pay_00031M6,UTR000008GCU6,490.5,2026-08-17,7.2,1.3,ORD1063
pay_00031N6,UTR000008GCV6,494.29,2026-08-04,3.99,0.72,ORD1099
pay_00031KG,UTR000008GCSG,1576.18,2026-08-10,19.34,3.48,ORD1001
pay_00031KL,UTR000008GCSL,495.61,2026-08-13,2.87,0.52,ORD1006
pay_00031KX,UTR000008GCSX,1590.5,2026-08-11,7.2,1.3,ORD1018
pay_00031KZ,UTR000008GCSZ,1577.08,2026-08-04,21.92,0,ORD1020
pay_00031L3,UTR000008GCT3,9829.65,2026-08-10,143.52,25.83,ORD1024
pay_00031KN,UTR000008GCSN,795.08,2026-08-10,3.32,0.6,ORD1008
pay_00031MW,UTR000008GCUW,1289.91,2026-08-07,8.67,1.56,ORD1089
pay_00031L0,UTR000008GCT0,1983.23,2026-08-25,16.94,3.05,ORD1021
pay_00031ML,UTR000008GCUL,7409.04,2026-08-10,76.24,13.72,ORD1078
pay_00031KI,UTR000008GCSI,4939.45,2026-08-05,50.47,9.08,ORD1003
pay_00031LD,UTR000008GCTD,1965.24,2026-08-17,33.76,0,ORD1034
pay_00031MQ,UTR00000SAIP,790.35,2026-08-06,7.33,1.32,ORD1083
pay_00031MZ,UTR000008GCUZ,7433.48,2026-08-17,54.32,9.78,ORD1092
pay_00031MK,UTR000008GCUK,1285.63,2026-08-13,11.33,2.04,ORD1077
pay_00031N5,UTR000008GCV5,3386.57,2026-08-10,44.43,8,ORD1098
pay_00031L4,UTR000008GCT4,4953.84,2026-08-13,38.27,6.89,ORD1025
pay_00031MM,UTR000008GCUM,1288.97,2026-08-06,8.5,1.53,ORD1079
pay_00031KQ,UTR000008GCSQ,7092.07,2026-08-05,90.62,16.31,ORD1011
pay_00031LO,UTR000008GCTO,1979.6,2026-08-18,16.44,2.96,ORD1045
pay_00031M3,UTR000008GCU3,7427.43,2026-08-04,60.65,10.92,
pay_00031LN,UTR000008GCTN,1589.14,2026-08-12,8.36,1.5,ORD1044
pay_00031KM,UTR000008GCSM,1278.07,2026-08-21,20.93,0,ORD1007
pay_00031MH,UTR000008GCUH,9813.36,2026-08-10,157.32,28.32,
pay_00031LY,UTR000008GCTY,9800.29,2026-08-19,168.4,30.31,ORD1055
pay_00031MR,UTR000008GCUR,293.13,2026-08-13,5.87,0,ORD1084
pay_00031MV,UTR000008GCUV,489.78,2026-08-17,9.22,0,ORD1088
pay_00031LG,UTR000008GCTG,787,2026-08-12,10.17,1.83,ORD1037
pay_00031M7,UTR000008GCU7,1278.51,2026-08-25,17.45,0,ORD1064
pay_00031MF,UTR000008GCUF,2443.64,2026-08-10,45.38,8.17,ORD1072
pay_00031L6,UTR000008GCT6,7441.51,2026-08-21,48.72,8.77,ORD1027
pay_00031N1,UTR000008GCV1,1577.34,2026-08-04,18.36,3.3,ORD1094
pay_00031KO,UTR000008GCSO,994.22,2026-08-10,4.05,0.73,ORD1009
pay_00031MN,UTR000008GCUN,1276.05,2026-08-14,19.45,3.5,ORD1080
pay_00031LX,UTR000008GCTX,1281.82,2026-08-03,14.56,2.62,ORD1054
pay_00031LC,UTR000008GCTC,1291.97,2026-08-17,5.96,1.07,ORD1033
pay_00031M1,UTR000008GCU1,2455.46,2026-08-10,36.9,6.64,ORD1058
pay_00031M4,UTR000008GCU4,1281.34,2026-08-10,14.97,2.69,ORD1061
pay_00031MP,UTR000008GCUP,495.67,2026-08-04,2.82,0.51,ORD1082
